wavelength,angle,psi,delta
532.846863,75.02,14.755252,78.798935
536.014587,65.02,19.876669,139.347443
536.014587,70.02,15.709777,117.12896
536.014587,75.02,14.539195,78.72995
539.182007,65.02,19.742676,139.826126
539.182007,70.02,15.507899,117.430435
539.182007,75.02,14.32091,78.620842
542.349121,65.02,19.601393,140.247147
542.349121,70.02,15.315493,117.814972
542.349121,75.02,14.110541,78.431709
545.515869,65.02,19.455151,140.630005
545.515869,70.02,15.126965,118.12957
545.515869,75.02,13.89958,78.224327
548.682312,65.02,19.317192,141.040344
548.682312,70.02,14.929412,118.401627
548.682312,75.02,13.700093,77.919899
551.84845,65.02,19.161512,141.367813
551.84845,70.02,14.739177,118.640396
551.84845,75.02,13.51125,77.598976
555.014282,65.02,19.008402,141.622314
555.014282,70.02,14.552632,118.780548
555.014282,75.02,13.330812,77.253204
558.179749,65.02,18.85331,141.86441
558.179749,70.02,14.352981,118.836891
558.179749,75.02,13.167013,76.724304
561.34491,65.02,18.707928,142.081024
561.34491,70.02,14.166049,118.796707
561.34491,75.02,13.023438,76.20224
564.509766,65.02,18.54077,142.232712
564.509766,70.02,13.990759,118.790588
564.509766,75.02,12.888303,75.671249
567.674194,65.02,18.392595,142.345078
567.674194,70.02,13.832668,118.677696
567.674194,75.02,12.786008,75.043274
570.838501,65.02,18.243479,142.382477
570.838501,70.02,13.674595,118.491676
570.838501,75.02,12.697732,74.441231
574.002319,65.02,18.10828,142.369003
574.002319,70.02,13.527985,118.268158
574.002319,75.02,12.623663,73.855331
577.165894,65.02,17.988207,142.321808
577.165894,70.02,13.419565,117.987823
577.165894,75.02,12.5752,73.221565
580.329102,65.02,17.874437,142.20813
580.329102,70.02,13.313055,117.631798
580.329102,75.02,12.553779,72.556648
583.492065,65.02,17.76786,142.079758
583.492065,70.02,13.229787,117.307121
583.492065,75.02,12.53602,72.061325
586.654602,65.02,17.695822,141.95517
586.654602,70.02,13.174634,116.886269
586.654602,75.02,12.555008,71.503761
589.816895,65.02,17.62776,141.747467
589.816895,70.02,13.125007,116.501053
589.816895,75.02,12.587032,71.112
592.978821,65.02,17.583897,141.532913
592.978821,70.02,13.111271,116.117439
592.978821,75.02,12.628531,70.767868
596.140442,65.02,17.529966,141.311829
596.140442,70.02,13.099234,115.759308
596.140442,75.02,12.681937,70.475548
599.301758,65.02,17.531229,141.08992
599.301758,70.02,13.117169,115.425133
599.301758,75.02,12.739141,70.282562
602.462769,65.02,17.521963,140.903625
602.462769,70.02,13.146262,115.20182
602.462769,75.02,12.799136,70.141212
605.623413,65.02,17.551069,140.757217
605.623413,70.02,13.188996,114.994583
605.623413,75.02,12.864291,70.153328
608.783752,65.02,17.575806,140.622589
608.783752,70.02,13.244533,114.894737
608.783752,75.02,12.924145,70.209114
611.943726,65.02,17.614435,140.584412
611.943726,70.02,13.27739,114.920502
611.943726,75.02,12.966737,70.321404
615.103394,65.02,17.670448,140.312958
615.103394,70.02,13.393811,114.778793
615.103394,75.02,13.06829,70.599037
618.262817,65.02,17.729446,140.325012
618.262817,70.02,13.443473,114.767929
618.262817,75.02,13.097122,70.726982
621.421875,65.02,17.788006,140.300064
621.421875,70.02,13.515492,114.900887
621.421875,75.02,13.139328,71.031586
624.580566,65.02,17.859882,140.326767
624.580566,70.02,13.581132,115.01947
624.580566,75.02,13.177979,71.401596
627.738953,65.02,17.931559,140.338608
627.738953,70.02,13.661686,115.182449
627.738953,75.02,13.211627,71.799873
630.897095,65.02,18.012169,140.418488
630.897095,70.02,13.733474,115.453056
630.897095,75.02,13.247928,72.195099
634.05481,65.02,18.086422,140.486664
634.05481,70.02,13.80487,115.715462
634.05481,75.02,13.259958,72.64563
637.21228,65.02,18.178112,140.650925
637.21228,70.02,13.87937,116.034637
637.21228,75.02,13.274162,73.064674
640.369446,65.02,18.25392,140.795532
640.369446,70.02,13.955469,116.374001
640.369446,75.02,13.287506,73.613266
643.526184,65.02,18.344521,141.008759
643.526184,70.02,14.016519,116.773582
643.526184,75.02,13.289444,74.10627
646.682678,65.02,18.417009,141.203018
646.682678,70.02,14.073788,117.176933
646.682678,75.02,13.280989,74.621735
649.838806,65.02,18.497936,141.408859
649.838806,70.02,14.146349,117.595467
649.838806,75.02,13.260343,75.211777
652.994629,65.02,18.568031,141.626129
652.994629,70.02,14.198963,118.035522
652.994629,75.02,13.246132,75.782578
656.150208,65.02,18.645962,141.869308
656.150208,70.02,14.260935,118.477715
656.150208,75.02,13.219256,76.312111
659.305359,65.02,18.724573,142.136063
659.305359,70.02,14.309429,118.942337
659.305359,75.02,13.200994,76.848015
662.460205,65.02,18.799986,142.422913
662.460205,70.02,14.362415,119.475632
662.460205,75.02,13.159421,77.508698
665.614746,65.02,18.855579,142.704803
665.614746,70.02,14.403538,119.979897
665.614746,75.02,13.130428,78.091202
668.768921,65.02,18.933453,143.025513
668.768921,70.02,14.436174,120.471016
668.768921,75.02,13.081904,78.654648
671.922852,65.02,18.99577,143.337891
671.922852,70.02,14.486884,121.039047
671.922852,75.02,13.032999,79.232765
675.076477,65.02,19.059277,143.620804
675.076477,70.02,14.516331,121.544533
675.076477,75.02,12.971533,79.906288
678.229675,65.02,19.103039,143.948654
678.229675,70.02,14.542929,122.040428
678.229675,75.02,12.915662,80.48159
681.382629,65.02,19.169046,144.24942
681.382629,70.02,14.574959,122.582977
681.382629,75.02,12.874108,81.047485
684.535278,65.02,19.230114,144.602768
684.535278,70.02,14.610508,123.132759
684.535278,75.02,12.817857,81.686516
687.687561,65.02,19.277147,144.932236
687.687561,70.02,14.627862,123.663925
687.687561,75.02,12.752987,82.306854
690.839478,65.02,19.329748,145.260147
690.839478,70.02,14.6496,124.230827
690.839478,75.02,12.6766,82.852539
693.99115,65.02,19.377129,145.581161
693.99115,70.02,14.6706,124.74247
693.99115,75.02,12.624402,83.49688
697.142456,65.02,19.440561,145.935593
697.142456,70.02,14.696091,125.304886
697.142456,75.02,12.549123,84.130569
700.293457,65.02,19.470964,146.270798
700.293457,70.02,14.707229,125.856293
700.293457,75.02,12.485266,84.723282
703.444153,65.02,19.521101,146.65242
703.444153,70.02,14.722589,126.408051
703.444153,75.02,12.405353,85.346863
706.594543,65.02,19.568365,146.962326
706.594543,70.02,14.73398,126.954102
706.594543,75.02,12.334507,85.995232
709.744507,65.02,19.593094,147.31012
709.744507,70.02,14.752708,127.535606
709.744507,75.02,12.252888,86.63147
712.894287,65.02,19.652145,147.697876
712.894287,70.02,14.76271,128.125748
712.894287,75.02,12.179378,87.279282
716.04364,65.02,19.683313,148.040451
716.04364,70.02,14.778543,128.71463
716.04364,75.02,12.090714,87.932297
719.192749,65.02,19.73687,148.371719
719.192749,70.02,14.791915,129.236526
719.192749,75.02,12.011057,88.566628
722.341492,65.02,19.772459,148.757553
722.341492,70.02,14.800495,129.797073
722.341492,75.02,11.929487,89.182175
725.489929,65.02,19.810846,149.091415
725.489929,70.02,14.806405,130.405838
725.489929,75.02,11.849093,89.848221
728.638,65.02,19.847481,149.432007
728.638,70.02,14.818444,130.921387
728.638,75.02,11.764186,90.474297
731.785828,65.02,19.890757,149.80484
731.785828,70.02,14.818317,131.547623
731.785828,75.02,11.676582,91.153595
734.933289,65.02,19.926359,150.154312
734.933289,70.02,14.828971,132.087173
734.933289,75.02,11.589839,91.818756
738.080444,65.02,19.953485,150.509201
738.080444,70.02,14.837599,132.715515
738.080444,75.02,11.496911,92.527115
741.227234,65.02,19.985657,150.860428
741.227234,70.02,14.837531,133.272415
741.227234,75.02,11.41818,93.20063
744.373718,65.02,20.020597,151.246521
744.373718,70.02,14.845934,133.848618
744.373718,75.02,11.327902,93.872566
747.519897,65.02,20.067406,151.609238
747.519897,70.02,14.848044,134.429733
747.519897,75.02,11.2352,94.553246
750.665771,65.02,20.097382,151.982758
750.665771,70.02,14.851374,134.994843
750.665771,75.02,11.142669,95.225121
753.81134,65.02,20.119478,152.338684
753.81134,70.02,14.852796,135.615234
753.81134,75.02,11.050649,95.929565
756.956543,65.02,20.142775,152.665085
756.956543,70.02,14.858943,136.182053
756.956543,75.02,10.962965,96.677658
760.10144,65.02,20.193029,153.054153
760.10144,70.02,14.863897,136.733856
760.10144,75.02,10.867854,97.350044
763.245972,65.02,20.21903,153.440918
763.245972,70.02,14.863195,137.357986
763.245972,75.02,10.773315,98.138489
766.390259,65.02,20.247393,153.816238
766.390259,70.02,14.859608,137.953369
766.390259,75.02,10.678789,98.758873
769.534119,65.02,20.279877,154.181015
769.534119,70.02,14.851609,138.492188
769.534119,75.02,10.583802,99.514534
772.677734,65.02,20.298283,154.509064
772.677734,70.02,14.867011,139.111191
772.677734,75.02,10.501503,100.280327
775.820984,65.02,20.329449,154.876938
775.820984,70.02,14.859125,139.664948
775.820984,75.02,10.396397,100.992752
778.963989,65.02,20.350973,155.249893
778.963989,70.02,14.859274,140.29921
778.963989,75.02,10.301288,101.789383
782.106628,65.02,20.368063,155.628784
782.106628,70.02,14.85604,140.867004
782.106628,75.02,10.201462,102.520828
785.248901,65.02,20.403688,156.01532
785.248901,70.02,14.850175,141.476822
785.248901,75.02,10.108783,103.266701
788.39093,65.02,20.42342,156.340195
788.39093,70.02,14.849523,142.04213
788.39093,75.02,10.011237,104.040054
791.532593,65.02,20.445513,156.723022
791.532593,70.02,14.844253,142.643295
791.532593,75.02,9.909921,104.828964
794.67395,65.02,20.476891,157.080338
794.67395,70.02,14.856192,143.212982
794.67395,75.02,9.812372,105.536705
797.814941,65.02,20.497084,157.458664
797.814941,70.02,14.842542,143.837006
797.814941,75.02,9.728094,106.357681
800.955688,65.02,20.516638,157.815125
800.955688,70.02,14.835226,144.40564
800.955688,75.02,9.624074,107.141235
804.096069,65.02,20.530453,158.177719
804.096069,70.02,14.827799,145.016525
804.096069,75.02,9.523896,107.990196
807.236145,65.02,20.556675,158.580276
807.236145,70.02,14.824159,145.576218
807.236145,75.02,9.43265,108.754822
810.375854,65.02,20.569653,158.94162
810.375854,70.02,14.817243,146.171326
810.375854,75.02,9.329652,109.589981
813.515259,65.02,20.600176,159.322006
813.515259,70.02,14.816342,146.800125
