Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Intensity (65.02°)	Intensity (70.02°)	Intensity (75.02°)
851.163086	0.404145	0.401392	0.408693	
854.298462	0.405068	0.400883	0.408856	
857.433289	0.405461	0.403713	0.410620	
860.567871	0.406228	0.405488	0.410575	
863.702148	0.406743	0.405366	0.410822	
866.836121	0.407573	0.404979	0.411482	
869.969727	0.408194	0.404955	0.409812	
873.103027	0.408675	0.405698	0.409851	
876.236023	0.409414	0.405641	0.413252	
879.368652	0.409610	0.406784	0.412770	
882.500977	0.410328	0.408111	0.411744	
885.632996	0.410954	0.406480	0.412090	
888.764771	0.411477	0.405897	0.411779	
891.896118	0.411919	0.406726	0.412534	
895.027161	0.412366	0.407222	0.412153	
898.157837	0.412845	0.408250	0.413559	
901.288269	0.413229	0.408668	0.413823	
904.418335	0.413538	0.408843	0.412599	
907.548157	0.413833	0.407496	0.411398	
910.677551	0.414271	0.409548	0.412103	
913.806641	0.414775	0.408887	0.412874	
916.935547	0.414925	0.408470	0.412899	
920.063843	0.415250	0.410979	0.414815	
923.192200	0.415577	0.411818	0.416466	
926.319946	0.415847	0.411535	0.414531	
929.447449	0.416076	0.409433	0.412814	
932.574585	0.416157	0.408991	0.413725	
935.701538	0.416450	0.412708	0.415190	
938.828125	0.416728	0.412143	0.417525	
941.954285	0.417188	0.409890	0.415235	
945.080200	0.417089	0.410316	0.413685	
948.205750	0.417083	0.411204	0.414562	
951.331055	0.417561	0.412145	0.413359	
954.455872	0.417653	0.412065	0.412867	
957.580444	0.417831	0.412452	0.415013	
960.704895	0.417957	0.412165	0.414329	
963.828796	0.418041	0.411042	0.411061	
966.952454	0.418196	0.410274	0.410796	
970.075806	0.418204	0.411520	0.412561	
973.198853	0.418231	0.411460	0.412506	
976.321472	0.418214	0.410733	0.413985	
979.443848	0.418235	0.412221	0.412032	
982.565918	0.418380	0.412031	0.414506	
985.687622	0.418249	0.410472	0.414840	
988.808960	0.418379	0.415263	0.415366	
991.930054	0.418492	0.414609	0.414625	
995.050781	0.418353	0.413093	0.413889	
998.171265	0.418441	0.413211	0.416268	
