Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
652.994629	16.246635	114.947502	15.315262	84.641647	18.434076	53.059742	
656.150208	16.396969	116.414406	15.264030	86.371445	18.187344	54.211517	
659.305359	16.549442	117.942474	15.215239	88.129150	17.948706	55.385239	
662.460205	16.680729	119.335114	15.147508	89.852402	17.688148	56.529434	
665.614746	16.798729	120.653847	15.083019	91.432388	17.439182	57.577393	
668.768921	16.904058	122.009773	15.013106	93.024139	17.190630	58.623798	
671.922852	17.002146	123.321991	14.939522	94.614510	16.932211	59.628361	
675.076477	17.087318	124.514000	14.858891	96.071877	16.688162	60.633881	
678.229675	17.165749	125.671860	14.784264	97.514259	16.438248	61.569691	
681.382629	17.245852	126.874969	14.718995	98.936897	16.197260	62.498920	
684.535278	17.323896	127.932976	14.633134	100.308189	15.953916	63.388683	
687.687561	17.380627	128.998703	14.562708	101.685768	15.710419	64.298248	
690.839478	17.440409	130.105743	14.485923	103.021271	15.459629	65.117058	
693.991150	17.495995	131.095932	14.413743	104.277168	15.232703	65.966408	
697.142456	17.546284	132.093033	14.326648	105.514351	14.993057	66.815422	
700.293457	17.588470	133.040039	14.257474	106.805878	14.752851	67.621407	
703.444153	17.628046	133.995590	14.168856	108.012886	14.513493	68.392891	
706.594543	17.673578	134.913818	14.098441	109.218590	14.281288	69.195717	
709.744507	17.703188	135.841492	14.014791	110.435722	14.040637	69.952347	
712.894287	17.733124	136.777435	13.930927	111.645950	13.800679	70.741447	
716.043640	17.764700	137.633728	13.865168	112.843307	13.579083	71.480896	
719.192749	17.811033	138.505020	13.785210	113.999382	13.343709	72.197449	
722.341492	17.838150	139.305664	13.712457	115.103020	13.131721	72.922302	
725.489929	17.861338	140.154160	13.642149	116.232307	12.891891	73.683815	
728.638000	17.881479	140.939011	13.566854	117.316978	12.670418	74.315758	
731.785828	17.908764	141.769775	13.487614	118.438156	12.443030	75.003807	
734.933289	17.919909	142.538055	13.413768	119.499573	12.226216	75.770180	
738.080444	17.929554	143.291397	13.347846	120.567085	12.009195	76.398064	
741.227234	17.948975	144.011993	13.284717	121.611626	11.793996	77.104698	
744.373718	17.958275	144.794907	13.204960	122.665512	11.573627	77.786201	
747.519897	17.982599	145.524200	13.132994	123.725609	11.350415	78.418396	
750.665771	17.994041	146.232254	13.067445	124.728523	11.140572	79.086464	
753.811340	17.996449	146.966095	12.996964	125.757942	10.924157	79.741325	
756.956543	18.002880	147.653793	12.931337	126.775833	10.722445	80.392426	
