Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
649.838806	14.744818	94.337158	16.443483	64.127563	21.339956	40.299572	
652.994629	14.869476	96.707321	16.288038	66.151207	21.018801	41.534485	
656.150208	14.983693	98.851700	16.136379	68.151581	20.724585	42.661160	
659.305359	15.092733	100.965988	15.983799	70.036110	20.440832	43.771454	
662.460205	15.182663	102.925682	15.838703	71.855019	20.147345	44.891945	
665.614746	15.277531	104.672089	15.699939	73.571953	19.876572	45.881775	
668.768921	15.367539	106.480728	15.564754	75.241173	19.591179	46.884823	
671.922852	15.444770	108.162552	15.429250	76.918335	19.306385	47.823814	
675.076477	15.512093	109.693016	15.292713	78.402977	19.042688	48.721066	
678.229675	15.584482	111.231987	15.169508	79.913658	18.777430	49.613964	
681.382629	15.653049	112.634857	15.061092	81.390289	18.535070	50.434341	
684.535278	15.724944	114.042503	14.937360	82.832481	18.275764	51.266987	
687.687561	15.783941	115.381714	14.818425	84.196037	18.016596	52.040798	
690.839478	15.839596	116.693787	14.692555	85.626595	17.776720	52.808800	
693.991150	15.896033	117.897797	14.587402	86.903404	17.535107	53.577599	
697.142456	15.945502	119.079361	14.485160	88.235725	17.284788	54.321903	
700.293457	15.992384	120.243881	14.372129	89.444740	17.057869	54.995174	
703.444153	16.038441	121.344223	14.255075	90.743797	16.818367	55.716892	
706.594543	16.079725	122.448334	14.155804	91.931168	16.589497	56.402847	
709.744507	16.118109	123.574387	14.058197	93.199432	16.350372	57.092098	
712.894287	16.155329	124.627090	13.944242	94.432991	16.111265	57.753040	
716.043640	16.206532	125.625481	13.848385	95.628799	15.890064	58.381199	
719.192749	16.250961	126.606644	13.756768	96.777718	15.661124	59.031124	
722.341492	16.275717	127.587669	13.657459	97.950935	15.443617	59.661617	
725.489929	16.307301	128.556076	13.563896	99.069092	15.211757	60.263664	
728.638000	16.341925	129.471558	13.478463	100.140381	14.995625	60.840523	
731.785828	16.371511	130.405609	13.384998	101.329613	14.775803	61.441628	
734.933289	16.399170	131.278717	13.300453	102.343712	14.562842	62.050358	
738.080444	16.416826	132.146164	13.204114	103.481026	14.345840	62.590496	
741.227234	16.449467	133.006851	13.122170	104.553032	14.123917	63.218227	
744.373718	16.479822	133.841690	13.037956	105.613701	13.908639	63.745552	
747.519897	16.501902	134.698257	12.944545	106.678085	13.699921	64.264915	
750.665771	16.517876	135.522507	12.860394	107.675659	13.498377	64.811134	
753.811340	16.534096	136.327423	12.781662	108.760696	13.275607	65.336044	
756.956543	16.557816	137.102509	12.697137	109.772583	13.073241	65.866096	
760.101440	16.575069	137.816650	12.614228	110.768501	12.874468	66.395821	
763.245972	16.594791	138.626144	12.535091	111.834526	12.665358	66.869019	
766.390259	16.612871	139.396286	12.457803	112.857574	12.457692	67.335518	
769.534119	16.619017	140.150650	12.375981	113.868767	12.252379	67.878006	
772.677734	16.646843	140.861130	12.308730	114.836670	12.053164	68.338158	
775.820984	16.659645	141.586273	12.232215	115.837990	11.857758	68.804848	
778.963989	16.668617	142.294037	12.151712	116.836044	11.659148	69.278290	
782.106628	16.671701	142.972046	12.079534	117.779053	11.454527	69.707954	
785.248901	16.689415	143.705368	11.996535	118.737671	11.255378	70.177208	
788.390930	16.700121	144.348846	11.927590	119.726143	11.064609	70.639511	
791.532593	16.701881	145.013779	11.853880	120.663040	10.872708	71.062790	
794.673950	16.719036	145.670227	11.787712	121.604752	10.686127	71.462456	
797.814941	16.723335	146.333893	11.727460	122.555611	10.488299	71.914459	
800.955688	16.720449	146.957657	11.648777	123.489273	10.304561	72.319542	
804.096069	16.721363	147.614731	11.582902	124.444237	10.113656	72.754822	
