Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
380.416931	23.161663	109.513702	22.548107	86.981369	24.379166	61.695473	
383.600128	23.195032	110.200912	22.383667	87.824669	24.239531	62.440693	
386.782990	23.161388	110.999687	22.290468	88.640030	24.015429	62.990597	
389.965515	23.112658	111.775772	22.153156	89.376434	23.812422	63.455025	
393.147766	23.034883	112.476173	22.022383	89.960632	23.643314	63.977371	
396.329651	23.011415	112.974823	21.914904	90.541931	23.488665	64.406052	
399.511230	22.983055	113.689545	21.794487	91.174004	23.311865	64.815269	
402.692474	22.926376	114.348244	21.695513	91.828987	23.155045	65.340340	
405.873413	22.898058	114.981705	21.594234	92.505592	22.967560	65.768425	
409.054016	22.866716	115.634209	21.478310	93.132858	22.790787	66.162849	
412.234283	22.825153	116.314484	21.379740	93.770149	22.638721	66.595703	
415.414246	22.796509	117.011353	21.260092	94.383110	22.455582	67.088493	
418.593933	22.734764	117.558060	21.140860	95.064819	22.277367	67.518051	
421.773254	22.721607	118.313110	21.027250	95.721970	22.094320	67.990265	
424.952240	22.681213	118.860352	20.913019	96.382210	21.918821	68.435707	
428.130951	22.629267	119.580215	20.792217	97.118408	21.728754	68.955452	
431.309265	22.568512	120.249870	20.675001	97.741821	21.531084	69.408775	
434.487305	22.534220	120.947075	20.544777	98.434624	21.340214	69.827393	
437.665039	22.482002	121.628525	20.431700	99.136353	21.156998	70.329704	
440.842468	22.436741	122.222000	20.309572	99.780449	20.956244	70.709625	
444.019531	22.380640	122.867188	20.173082	100.428970	20.762796	71.154320	
447.196228	22.317417	123.463715	20.045544	101.087479	20.562860	71.624489	
450.372650	22.267097	124.122032	19.910942	101.756767	20.361105	71.999016	
453.548767	22.191175	124.757172	19.779856	102.374458	20.161030	72.429611	
456.724548	22.137606	125.379555	19.642181	103.009163	19.959105	72.803848	
459.899994	22.080280	125.974823	19.494249	103.625999	19.756638	73.216972	
463.075195	22.006506	126.616257	19.367689	104.265434	19.548868	73.567581	
