Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
466.250000	21.937155	127.258095	19.232174	104.946655	19.333939	73.999443	
469.424500	21.876303	127.836357	19.085213	105.497787	19.138254	74.308121	
472.598694	21.792332	128.420029	18.941551	106.145325	18.925756	74.721977	
475.772552	21.712831	129.027527	18.805708	106.773689	18.713890	75.041786	
478.946045	21.648197	129.613937	18.663706	107.399834	18.495676	75.398567	
482.119232	21.567654	130.198166	18.514605	108.001869	18.292534	75.739777	
485.292175	21.499392	130.788666	18.365122	108.586830	18.071768	76.060997	
488.464752	21.406637	131.380753	18.219826	109.152969	17.857637	76.353600	
491.636963	21.346155	131.941223	18.076622	109.789940	17.653782	76.652283	
494.808899	21.253788	132.542557	17.906897	110.340912	17.431503	76.929565	
497.980469	21.159668	133.069183	17.765285	110.926476	17.214743	77.220940	
501.151764	21.077751	133.646210	17.607347	111.510582	16.997444	77.473236	
504.322754	20.973473	134.220795	17.449368	112.101662	16.770935	77.747627	
507.493347	20.881313	134.768417	17.286907	112.646408	16.550982	77.942841	
510.663666	20.781685	135.335388	17.129255	113.228416	16.328798	78.180565	
513.833679	20.690022	135.862442	16.958794	113.705986	16.110338	78.331299	
517.003296	20.594000	136.376312	16.789652	114.281204	15.892622	78.489738	
520.172668	20.485977	136.905258	16.621925	114.771423	15.662584	78.625389	
523.341675	20.376629	137.406235	16.442274	115.311058	15.436934	78.724693	
526.510376	20.255350	137.929337	16.271160	115.776543	15.217680	78.767853	
529.678833	20.136515	138.434494	16.074602	116.245461	14.982693	78.808678	
532.846863	20.000658	138.896118	15.895308	116.720070	14.755252	78.798935	
536.014587	19.876669	139.347443	15.709777	117.128960	14.539195	78.729950	
539.182007	19.742676	139.826126	15.507899	117.430435	14.320910	78.620842	
542.349121	19.601393	140.247147	15.315493	117.814972	14.110541	78.431709	
545.515869	19.455151	140.630005	15.126965	118.129570	13.899580	78.224327	
548.682312	19.317192	141.040344	14.929412	118.401627	13.700093	77.919899	
551.848450	19.161512	141.367813	14.739177	118.640396	13.511250	77.598976	
555.014282	19.008402	141.622314	14.552632	118.780548	13.330812	77.253204	
558.179749	18.853310	141.864410	14.352981	118.836891	13.167013	76.724304	
561.344910	18.707928	142.081024	14.166049	118.796707	13.023438	76.202240	
564.509766	18.540770	142.232712	13.990759	118.790588	12.888303	75.671249	
567.674194	18.392595	142.345078	13.832668	118.677696	12.786008	75.043274	
570.838501	18.243479	142.382477	13.674595	118.491676	12.697732	74.441231	
574.002319	18.108280	142.369003	13.527985	118.268158	12.623663	73.855331	
577.165894	17.988207	142.321808	13.419565	117.987823	12.575200	73.221565	
580.329102	17.874437	142.208130	13.313055	117.631798	12.553779	72.556648	
583.492065	17.767860	142.079758	13.229787	117.307121	12.536020	72.061325	
586.654602	17.695822	141.955170	13.174634	116.886269	12.555008	71.503761	
589.816895	17.627760	141.747467	13.125007	116.501053	12.587032	71.112000	
592.978821	17.583897	141.532913	13.111271	116.117439	12.628531	70.767868	
596.140442	17.529966	141.311829	13.099234	115.759308	12.681937	70.475548	
599.301758	17.531229	141.089920	13.117169	115.425133	12.739141	70.282562	
602.462769	17.521963	140.903625	13.146262	115.201820	12.799136	70.141212	
605.623413	17.551069	140.757217	13.188996	114.994583	12.864291	70.153328	
608.783752	17.575806	140.622589	13.244533	114.894737	12.924145	70.209114	
611.943726	17.614435	140.584412	13.277390	114.920502	12.966737	70.321404	
615.103394	17.670448	140.312958	13.393811	114.778793	13.068290	70.599037	
618.262817	17.729446	140.325012	13.443473	114.767929	13.097122	70.726982	
621.421875	17.788006	140.300064	13.515492	114.900887	13.139328	71.031586	
624.580566	17.859882	140.326767	13.581132	115.019470	13.177979	71.401596	
627.738953	17.931559	140.338608	13.661686	115.182449	13.211627	71.799873	
630.897095	18.012169	140.418488	13.733474	115.453056	13.247928	72.195099	
634.054810	18.086422	140.486664	13.804870	115.715462	13.259958	72.645630	
637.212280	18.178112	140.650925	13.879370	116.034637	13.274162	73.064674	
640.369446	18.253920	140.795532	13.955469	116.374001	13.287506	73.613266	
643.526184	18.344521	141.008759	14.016519	116.773582	13.289444	74.106270	
646.682678	18.417009	141.203018	14.073788	117.176933	13.280989	74.621735	
649.838806	18.497936	141.408859	14.146349	117.595467	13.260343	75.211777	
652.994629	18.568031	141.626129	14.198963	118.035522	13.246132	75.782578	
656.150208	18.645962	141.869308	14.260935	118.477715	13.219256	76.312111	
659.305359	18.724573	142.136063	14.309429	118.942337	13.200994	76.848015	
662.460205	18.799986	142.422913	14.362415	119.475632	13.159421	77.508698	
665.614746	18.855579	142.704803	14.403538	119.979897	13.130428	78.091202	
668.768921	18.933453	143.025513	14.436174	120.471016	13.081904	78.654648	
671.922852	18.995770	143.337891	14.486884	121.039047	13.032999	79.232765	
675.076477	19.059277	143.620804	14.516331	121.544533	12.971533	79.906288	
678.229675	19.103039	143.948654	14.542929	122.040428	12.915662	80.481590	
681.382629	19.169046	144.249420	14.574959	122.582977	12.874108	81.047485	
684.535278	19.230114	144.602768	14.610508	123.132759	12.817857	81.686516	
687.687561	19.277147	144.932236	14.627862	123.663925	12.752987	82.306854	
690.839478	19.329748	145.260147	14.649600	124.230827	12.676600	82.852539	
693.991150	19.377129	145.581161	14.670600	124.742470	12.624402	83.496880	
697.142456	19.440561	145.935593	14.696091	125.304886	12.549123	84.130569	
700.293457	19.470964	146.270798	14.707229	125.856293	12.485266	84.723282	
703.444153	19.521101	146.652420	14.722589	126.408051	12.405353	85.346863	
706.594543	19.568365	146.962326	14.733980	126.954102	12.334507	85.995232	
709.744507	19.593094	147.310120	14.752708	127.535606	12.252888	86.631470	
712.894287	19.652145	147.697876	14.762710	128.125748	12.179378	87.279282	
716.043640	19.683313	148.040451	14.778543	128.714630	12.090714	87.932297	
719.192749	19.736870	148.371719	14.791915	129.236526	12.011057	88.566628	
722.341492	19.772459	148.757553	14.800495	129.797073	11.929487	89.182175	
725.489929	19.810846	149.091415	14.806405	130.405838	11.849093	89.848221	
728.638000	19.847481	149.432007	14.818444	130.921387	11.764186	90.474297	
731.785828	19.890757	149.804840	14.818317	131.547623	11.676582	91.153595	
734.933289	19.926359	150.154312	14.828971	132.087173	11.589839	91.818756	
738.080444	19.953485	150.509201	14.837599	132.715515	11.496911	92.527115	
741.227234	19.985657	150.860428	14.837531	133.272415	11.418180	93.200630	
744.373718	20.020597	151.246521	14.845934	133.848618	11.327902	93.872566	
747.519897	20.067406	151.609238	14.848044	134.429733	11.235200	94.553246	
750.665771	20.097382	151.982758	14.851374	134.994843	11.142669	95.225121	
753.811340	20.119478	152.338684	14.852796	135.615234	11.050649	95.929565	
756.956543	20.142775	152.665085	14.858943	136.182053	10.962965	96.677658	
760.101440	20.193029	153.054153	14.863897	136.733856	10.867854	97.350044	
763.245972	20.219030	153.440918	14.863195	137.357986	10.773315	98.138489	
766.390259	20.247393	153.816238	14.859608	137.953369	10.678789	98.758873	
769.534119	20.279877	154.181015	14.851609	138.492188	10.583802	99.514534	
772.677734	20.298283	154.509064	14.867011	139.111191	10.501503	100.280327	
775.820984	20.329449	154.876938	14.859125	139.664948	10.396397	100.992752	
778.963989	20.350973	155.249893	14.859274	140.299210	10.301288	101.789383	
782.106628	20.368063	155.628784	14.856040	140.867004	10.201462	102.520828	
785.248901	20.403688	156.015320	14.850175	141.476822	10.108783	103.266701	
788.390930	20.423420	156.340195	14.849523	142.042130	10.011237	104.040054	
791.532593	20.445513	156.723022	14.844253	142.643295	9.909921	104.828964	
794.673950	20.476891	157.080338	14.856192	143.212982	9.812372	105.536705	
797.814941	20.497084	157.458664	14.842542	143.837006	9.728094	106.357681	
800.955688	20.516638	157.815125	14.835226	144.405640	9.624074	107.141235	
804.096069	20.530453	158.177719	14.827799	145.016525	9.523896	107.990196	
807.236145	20.556675	158.580276	14.824159	145.576218	9.432650	108.754822	
810.375854	20.569653	158.941620	14.817243	146.171326	9.329652	109.589981	
813.515259	20.600176	159.322006	14.816342	146.800125	9.233212	110.500359	
816.654419	20.617821	159.664627	14.807157	147.367386	9.143537	111.309273	
819.793152	20.643427	160.069397	14.808613	147.998169	9.040643	112.237389	
822.931519	20.661020	160.416641	14.802320	148.571823	8.946744	112.973427	
826.069702	20.667753	160.779922	14.796122	149.175476	8.857018	113.933502	
829.207520	20.682018	161.145004	14.779325	149.731400	8.751143	114.693466	
832.344910	20.705185	161.483292	14.782526	150.310028	8.669168	115.610641	
835.482239	20.708366	161.879074	14.777238	150.937820	8.567323	116.536644	
838.619019	20.718338	162.232986	14.751118	151.486038	8.474153	117.511543	
841.755554	20.741468	162.588821	14.748257	152.081741	8.376846	118.340408	
844.891785	20.767366	162.965393	14.743731	152.694962	8.282936	119.216072	
848.027527	20.766310	163.318161	14.738338	153.258316	8.198344	120.214584	
851.163086	20.785976	163.667267	14.732438	153.865311	8.105259	121.141571	
854.298462	20.796328	164.044296	14.716149	154.424011	8.005962	122.151184	
857.433289	20.790985	164.400253	14.713010	155.024109	7.910297	123.083839	
860.567871	20.793690	164.734238	14.686891	155.572922	7.824718	124.046524	
863.702148	20.813358	165.147507	14.680453	156.197906	7.728482	125.068726	
866.836121	20.815987	165.478149	14.665114	156.784256	7.638242	126.160698	
869.969727	20.829638	165.838867	14.666860	157.349121	7.559347	127.212852	
873.103027	20.838976	166.218811	14.652076	157.918274	7.473240	128.214691	
876.236023	20.834955	166.555984	14.647288	158.518295	7.394586	129.323029	
879.368652	20.843885	166.921310	14.626506	159.078049	7.289870	130.330109	
882.500977	20.846079	167.281616	14.613252	159.673187	7.205380	131.378891	
885.632996	20.862101	167.611801	14.605357	160.250580	7.134877	132.462372	
888.764771	20.853168	167.971146	14.598137	160.800400	7.039794	133.498550	
891.896118	20.862991	168.336517	14.578249	161.380936	6.960453	134.698685	
895.027161	20.859003	168.671158	14.566970	161.966110	6.885073	135.899139	
898.157837	20.863005	169.066116	14.550035	162.563614	6.796875	137.055496	
901.288269	20.864849	169.401138	14.543356	163.111725	6.720356	138.165680	
904.418335	20.876184	169.728424	14.527848	163.674210	6.635638	139.269058	
907.548157	20.861885	170.077240	14.523235	164.243347	6.558907	140.475647	
910.677551	20.858665	170.399231	14.499448	164.778732	6.482952	141.684692	
913.806641	20.870642	170.772766	14.476068	165.390076	6.419448	142.998520	
916.935547	20.859381	171.122528	14.463939	165.912872	6.330307	144.084290	
920.063843	20.869095	171.455505	14.455614	166.487137	6.270899	145.449341	
923.192200	20.848345	171.791809	14.446411	167.016571	6.197533	146.618225	
926.319946	20.840359	172.107010	14.419168	167.586761	6.136229	147.912170	
929.447449	20.843908	172.450546	14.398940	168.116302	6.076425	149.260254	
932.574585	20.845470	172.794205	14.386287	168.655182	6.004189	150.532852	
935.701538	20.846392	173.119431	14.387369	169.204803	5.945163	151.792862	
938.828125	20.825003	173.457108	14.359037	169.753464	5.875348	153.142532	
941.954285	20.822994	173.810760	14.337431	170.365234	5.829769	154.748718	
945.080200	20.812260	174.195313	14.325123	170.972092	5.754639	156.281631	
948.205750	20.813643	174.569382	14.314865	171.603989	5.690982	157.801270	
951.331055	20.794859	174.894470	14.287827	172.146042	5.647642	159.333939	
954.455872	20.801266	175.246475	14.264950	172.688904	5.585743	160.624466	
957.580444	20.786686	175.563492	14.264271	173.212021	5.557981	162.135696	
960.704895	20.776810	175.908401	14.246951	173.764832	5.507032	163.522278	
963.828796	20.775442	176.186295	14.225156	174.283905	5.447353	164.912216	
966.952454	20.758865	176.534149	14.237065	174.789383	5.420185	166.491211	
970.075806	20.759136	176.857910	14.229385	175.342209	5.363089	167.902100	
973.198853	20.743456	177.172546	14.189587	175.868759	5.340586	169.446335	
976.321472	20.727406	177.496201	14.177105	176.406097	5.316712	170.908386	
979.443848	20.716488	177.816574	14.153041	176.975769	5.271794	172.488449	
982.565918	20.712337	178.109924	14.120525	177.496628	5.242198	173.925980	
985.687622	20.688047	178.424835	14.095871	177.936356	5.208128	175.402390	
988.808960	20.685787	178.744736	14.092546	178.484528	5.194913	176.965912	
991.930054	20.658968	179.046219	14.073157	178.989639	5.164256	178.524139	
995.050781	20.645723	179.353699	14.054536	179.536835	5.155136	179.976135	
998.171265	20.633345	179.647018	14.049612	180.026291	5.127670	181.513885	
