Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Intensity (65.02°)	Intensity (70.02°)	Intensity (75.02°)
380.416931	0.308858	0.331029	0.371306	
383.600128	0.308768	0.331023	0.371151	
386.782990	0.308022	0.329758	0.370221	
389.965515	0.307308	0.329616	0.370077	
393.147766	0.307075	0.328577	0.369309	
396.329651	0.306472	0.328405	0.368462	
399.511230	0.306092	0.327273	0.367186	
402.692474	0.305862	0.327339	0.367539	
405.873413	0.305680	0.326666	0.367103	
409.054016	0.305648	0.326219	0.366271	
412.234283	0.305210	0.326699	0.365877	
415.414246	0.304697	0.325281	0.365026	
418.593933	0.304554	0.325132	0.365013	
421.773254	0.304043	0.325106	0.364876	
424.952240	0.303786	0.324347	0.363934	
428.130951	0.303016	0.323620	0.363145	
431.309265	0.302267	0.322996	0.362369	
434.487305	0.301664	0.322657	0.362555	
437.665039	0.300961	0.321289	0.361131	
440.842468	0.300072	0.321010	0.360592	
444.019531	0.299236	0.320233	0.359792	
447.196228	0.298206	0.319203	0.358511	
450.372650	0.297273	0.318710	0.358075	
453.548767	0.296249	0.317694	0.357033	
456.724548	0.295237	0.316286	0.356768	
459.899994	0.293764	0.314694	0.355495	
463.075195	0.292548	0.313968	0.354221	
466.250000	0.291373	0.313112	0.353056	
469.424500	0.290021	0.311293	0.352934	
472.598694	0.288448	0.310689	0.352329	
475.772552	0.287119	0.309333	0.350232	
478.946045	0.285646	0.307723	0.349464	
482.119232	0.283936	0.306464	0.348516	
485.292175	0.282381	0.305516	0.348225	
488.464752	0.280554	0.303364	0.347296	
491.636963	0.278906	0.302285	0.346172	
494.808899	0.277356	0.300794	0.344851	
497.980469	0.275178	0.299337	0.343810	
501.151764	0.273352	0.298351	0.343180	
504.322754	0.271048	0.296667	0.341954	
507.493347	0.269004	0.294728	0.340350	
510.663666	0.266808	0.292632	0.339170	
513.833679	0.264248	0.290028	0.337385	
517.003296	0.261931	0.288960	0.336313	
520.172668	0.259363	0.287299	0.336038	
523.341675	0.256531	0.284191	0.333904	
526.510376	0.253591	0.281510	0.332344	
529.678833	0.250493	0.279865	0.331318	
532.846863	0.247193	0.277193	0.329722	
536.014587	0.243845	0.274599	0.328543	
539.182007	0.240298	0.271570	0.326215	
542.349121	0.236349	0.268479	0.323886	
545.515869	0.232543	0.266309	0.322113	
548.682312	0.228335	0.263186	0.320749	
551.848450	0.224224	0.259247	0.318317	
555.014282	0.219665	0.255204	0.315156	
558.179749	0.215391	0.251660	0.312257	
561.344910	0.210915	0.248684	0.310815	
564.509766	0.206404	0.244840	0.308058	
567.674194	0.201892	0.240671	0.305507	
570.838501	0.197649	0.238164	0.304094	
574.002319	0.193651	0.234902	0.302423	
577.165894	0.190003	0.231812	0.299896	
580.329102	0.186855	0.230396	0.299547	
583.492065	0.184311	0.228766	0.298749	
586.654602	0.182392	0.227304	0.298656	
589.816895	0.181443	0.225982	0.297791	
592.978821	0.181338	0.226856	0.298879	
596.140442	0.182263	0.228285	0.300695	
599.301758	0.184230	0.230430	0.303401	
602.462769	0.187164	0.233635	0.306158	
605.623413	0.190863	0.237713	0.309830	
608.783752	0.195292	0.242688	0.314909	
611.943726	0.200269	0.248290	0.321210	
615.103394	0.207625	0.251177	0.320383	
618.262817	0.212708	0.258491	0.328488	
621.421875	0.219710	0.264768	0.333171	
624.580566	0.226578	0.271984	0.339068	
627.738953	0.233757	0.277276	0.345023	
630.897095	0.240958	0.284785	0.350702	
634.054810	0.248324	0.289568	0.353629	
637.212280	0.255484	0.295762	0.357918	
640.369446	0.262334	0.301672	0.363340	
643.526184	0.269342	0.308155	0.369025	
646.682678	0.275841	0.314092	0.372140	
649.838806	0.282484	0.319055	0.375643	
652.994629	0.288600	0.324033	0.379853	
656.150208	0.294328	0.328199	0.381178	
659.305359	0.299907	0.331907	0.383015	
662.460205	0.305253	0.337534	0.388650	
665.614746	0.309959	0.341128	0.390561	
668.768921	0.314649	0.343925	0.391799	
671.922852	0.319476	0.347158	0.393335	
675.076477	0.323277	0.350522	0.394987	
678.229675	0.327290	0.352804	0.397017	
681.382629	0.330817	0.355511	0.399325	
