Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Intensity (65.02°)	Intensity (70.02°)	Intensity (75.02°)
684.535278	0.334441	0.359429	0.400819	
687.687561	0.337692	0.360328	0.399906	
690.839478	0.340959	0.363558	0.401843	
693.991150	0.343562	0.366226	0.404729	
697.142456	0.346351	0.366425	0.404592	
700.293457	0.348925	0.368834	0.405708	
703.444153	0.351588	0.370828	0.407793	
706.594543	0.353993	0.373317	0.408777	
709.744507	0.356176	0.373379	0.408111	
712.894287	0.358639	0.375388	0.407984	
716.043640	0.360378	0.374145	0.407612	
719.192749	0.362085	0.376117	0.407558	
722.341492	0.363972	0.377106	0.409245	
725.489929	0.365573	0.378036	0.409654	
728.638000	0.367173	0.381706	0.410853	
731.785828	0.368724	0.381155	0.408876	
734.933289	0.370399	0.382046	0.410447	
738.080444	0.371743	0.382555	0.409571	
741.227234	0.372983	0.383929	0.409666	
744.373718	0.374175	0.384521	0.409885	
747.519897	0.375464	0.386111	0.409505	
750.665771	0.376707	0.385706	0.409840	
753.811340	0.377651	0.386801	0.411118	
756.956543	0.378686	0.387242	0.410640	
760.101440	0.379864	0.386144	0.410411	
763.245972	0.380800	0.387913	0.411388	
766.390259	0.381525	0.389467	0.411639	
769.534119	0.382272	0.389996	0.410054	
772.677734	0.383185	0.389800	0.410560	
775.820984	0.384030	0.389961	0.411042	
778.963989	0.384687	0.391177	0.410590	
782.106628	0.385461	0.391876	0.410336	
785.248901	0.386007	0.391752	0.409355	
788.390930	0.386651	0.392422	0.411518	
791.532593	0.387117	0.391510	0.409913	
794.673950	0.387872	0.392208	0.411692	
797.814941	0.388286	0.390976	0.410104	
800.955688	0.388967	0.392435	0.409199	
804.096069	0.389418	0.392264	0.409829	
807.236145	0.389523	0.391909	0.408884	
810.375854	0.389864	0.392971	0.409921	
813.515259	0.390558	0.394991	0.412314	
816.654419	0.390775	0.393997	0.411481	
819.793152	0.391200	0.395275	0.411277	
822.931519	0.391417	0.394023	0.410073	
826.069702	0.391749	0.393072	0.408642	
829.207520	0.392010	0.393681	0.409750	
832.344910	0.392177	0.393222	0.409599	
835.482239	0.392488	0.392031	0.408365	
838.619019	0.392571	0.393469	0.408037	
841.755554	0.392745	0.392418	0.406171	
844.891785	0.392776	0.391554	0.406981	
848.027527	0.392996	0.393062	0.407458	
851.163086	0.393002	0.393069	0.407546	
854.298462	0.393373	0.392134	0.406396	
857.433289	0.393502	0.394625	0.408960	
860.567871	0.393500	0.395984	0.408871	
863.702148	0.393790	0.395887	0.408684	
866.836121	0.393636	0.395138	0.408503	
869.969727	0.393638	0.393848	0.406660	
873.103027	0.393740	0.394238	0.407086	
876.236023	0.393718	0.394282	0.409250	
879.368652	0.393744	0.395059	0.408845	
882.500977	0.393507	0.395510	0.406937	
885.632996	0.393670	0.393593	0.408179	
888.764771	0.393799	0.392983	0.408709	
891.896118	0.393956	0.393007	0.407725	
895.027161	0.393947	0.393087	0.407726	
898.157837	0.393712	0.393955	0.408070	
901.288269	0.393504	0.394098	0.408702	
904.418335	0.393210	0.394145	0.407089	
907.548157	0.393356	0.392152	0.406090	
910.677551	0.393443	0.393938	0.406660	
913.806641	0.393121	0.392422	0.405970	
916.935547	0.393202	0.391873	0.406322	
920.063843	0.393092	0.393863	0.407880	
923.192200	0.393035	0.394610	0.409168	
926.319946	0.392971	0.394108	0.407669	
929.447449	0.392608	0.391774	0.405903	
932.574585	0.392539	0.390967	0.407233	
935.701538	0.392431	0.394195	0.408022	
938.828125	0.392107	0.393591	0.409226	
941.954285	0.392107	0.390754	0.407312	
945.080200	0.391900	0.391552	0.406501	
948.205750	0.391531	0.392046	0.406955	
951.331055	0.391581	0.392803	0.405641	
954.455872	0.391614	0.392790	0.405851	
957.580444	0.391025	0.392404	0.406372	
960.704895	0.390958	0.391983	0.405857	
963.828796	0.390887	0.390936	0.403725	
966.952454	0.390731	0.390311	0.402241	
970.075806	0.390483	0.391196	0.403827	
973.198853	0.390123	0.390652	0.404445	
976.321472	0.389832	0.390094	0.405351	
979.443848	0.389795	0.391230	0.402803	
982.565918	0.389427	0.390594	0.405157	
985.687622	0.389131	0.389025	0.405746	
988.808960	0.389030	0.393237	0.405127	
991.930054	0.388780	0.392806	0.405881	
995.050781	0.388782	0.391304	0.405058	
998.171265	0.388490	0.391180	0.407186	
